transaction_id,customer_id,card_number,timestamp,merchant_category,merchant_type,merchant,amount,currency,country,city,city_size,card_type,card_present,device,channel,device_fingerprint,ip_address,distance_from_home,high_risk_merchant,transaction_hour,weekend_transaction,velocity_last_hour,is_fraud
TX_5996b3a9,CUST_40771,4396254636042639,2024-10-07 07:21:16.640094+00:00,Healthcare,pharmacy,Rite Aid,369.33,GBP,UK,Unknown City,medium,Gold Credit,False,Android App,mobile,4a0100850a918bc1c3dbee11d1dfdc0d,84.149.107.172,0,False,7,False,"{'num_transactions': 897, 'total_amount': 28772589.119904656, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3427035.2047084663}",False
TX_55653ec8,CUST_31454,377490983466945,2024-10-26 16:32:54.971842+00:00,Grocery,physical,Kroger,23.47,BRL,Brazil,Unknown City,medium,Basic Debit,False,Safari,web,c811222d1de63981a9154673c84526cd,4.111.227.209,1,False,16,True,"{'num_transactions': 64, 'total_amount': 1159651.700811459, 'unique_merchants': 49, 'unique_countries': 9, 'max_single_amount': 823006.2654783276}",True
TX_bc13f6e0,CUST_47231,378736131634506,2024-10-04 07:34:39.475621+00:00,Grocery,online,Instacart,551.5,SGD,Singapore,Unknown City,medium,Premium Debit,False,Android App,mobile,14241be5ff616fa043df63b87ad1a8ee,205.205.158.4,1,False,7,False,"{'num_transactions': 1155, 'total_amount': 33100993.887706332, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4763877.573140341}",True
TX_64b51afd,CUST_75733,5779215432788539,2024-10-01 05:56:31.450803+00:00,Education,online,Udemy,1120.9,AUD,Australia,Unknown City,medium,Platinum Credit,False,iOS App,mobile,291602e9b560bdbab2db2e5420f069e0,240.106.46.93,1,False,5,False,"{'num_transactions': 792, 'total_amount': 30268631.495076355, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 4344926.696425435}",False
TX_81b63a63,CUST_59778,5188586974577679,2024-10-27 19:44:39.760292+00:00,Entertainment,streaming,Hulu,396.85,EUR,Germany,Unknown City,medium,Premium Debit,False,Chrome,web,3b8573c08db78be5410fc862ea9a12fc,211.110.13.209,0,True,19,True,"{'num_transactions': 65, 'total_amount': 523656.5729217762, 'unique_merchants': 50, 'unique_countries': 10, 'max_single_amount': 192300.20321478433}",False
TX_3da3924f,CUST_85103,5544171665897873,2024-09-30 18:46:29.571751+00:00,Education,online,Udemy,1532.75,BRL,Brazil,Unknown City,medium,Basic Debit,False,Safari,web,ae6936f1c09c72673b71a3770e7ba6e0,43.188.160.206,0,False,18,False,"{'num_transactions': 817, 'total_amount': 17347744.67104982, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1296876.3775317902}",False
TX_2b86da5c,CUST_69862,6351671618235956,2024-10-11 02:33:38.786402+00:00,Retail,physical,Macy's,71.8,RUB,Russia,Unknown City,medium,Gold Credit,False,iOS App,mobile,c6b5cea6a16db15b7cc1ab17f89d20a0,169.175.10.28,1,False,2,False,"{'num_transactions': 569, 'total_amount': 13468283.431380678, 'unique_merchants': 104, 'unique_countries': 12, 'max_single_amount': 1909487.2417850734}",True
TX_e198006d,CUST_37917,6145151032111795,2024-10-23 16:47:47.789182+00:00,Entertainment,gaming,Steam,154.15,GBP,UK,Unknown City,medium,Basic Credit,False,Firefox,web,23e3a571547c13922b960050b1a15769,17.175.160.191,0,True,16,False,"{'num_transactions': 72, 'total_amount': 2450500.1066441205, 'unique_merchants': 49, 'unique_countries': 10, 'max_single_amount': 1730571.6406574233}",False
TX_71ac7c59,CUST_49523,4657625274929928,2024-10-26 21:25:55.538104+00:00,Gas,local,Highway Gas Stop,2978.44,SGD,Singapore,Unknown City,medium,Platinum Credit,False,Firefox,web,87b2565aa7f3785c4e5b28197e6b9995,184.85.246.162,0,False,21,True,"{'num_transactions': 55, 'total_amount': 4683820.914811009, 'unique_merchants': 45, 'unique_countries': 10, 'max_single_amount': 1061543.890070219}",False
TX_17d1e90d,CUST_43114,6433919978608615,2024-10-01 16:42:07.513536+00:00,Gas,local,Local Gas Station,443.34,EUR,France,Unknown City,medium,Gold Credit,False,Firefox,web,6a6f38e454f25ed59dd803dcd5bdc65c,235.130.190.52,0,False,16,False,"{'num_transactions': 2767, 'total_amount': 107109814.93939197, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1898258.7555550325}",False
TX_00d53422,CUST_92589,4547342512143882,2024-10-15 07:55:44.657373+00:00,Gas,major,BP,10432.01,MXN,Mexico,Unknown City,medium,Gold Credit,False,Firefox,web,fb92cba7f390066336022bae6e49d88a,100.105.189.97,0,False,7,False,"{'num_transactions': 214, 'total_amount': 7004524.572510388, 'unique_merchants': 87, 'unique_countries': 12, 'max_single_amount': 938318.7570283057}",False
TX_e8eddd93,CUST_46502,4507294647691467,2024-10-30 17:31:25.576020+00:00,Education,supplies,Chegg,428.53,USD,USA,Dallas,medium,Basic Credit,False,Chrome,web,ffaf2b565edb1b382e4f2a143de88957,117.72.102.30,0,False,17,False,"{'num_transactions': 4, 'total_amount': 1445.01, 'unique_merchants': 4, 'unique_countries': 1, 'max_single_amount': 428.53}",False
TX_ba3fee91,CUST_34400,379313593409675,2024-10-15 20:26:17.658451+00:00,Healthcare,medical,Medical Center,1849.86,USD,USA,Dallas,medium,Platinum Credit,False,Edge,web,b7e6bbdd02968abfb34d69aeece507bf,21.96.28.13,0,False,20,False,"{'num_transactions': 681, 'total_amount': 28014284.7155648, 'unique_merchants': 102, 'unique_countries': 12, 'max_single_amount': 3702797.6254826863}",False
TX_a9dffc63,CUST_79610,375502264657760,2024-10-06 06:49:54.807067+00:00,Healthcare,pharmacy,DuaneReade,22770.47,JPY,Japan,Unknown City,medium,Premium Debit,False,Android App,mobile,af719e56d1bed02f2bbf7d3883a88c2b,5.128.181.182,0,False,6,True,"{'num_transactions': 284, 'total_amount': 19758092.42316242, 'unique_merchants': 94, 'unique_countries': 12, 'max_single_amount': 3434976.072995667}",False
TX_ae596bdb,CUST_41439,5965727166859694,2024-10-19 16:54:12.569478+00:00,Grocery,online,FreshDirect,321.27,EUR,Germany,Unknown City,medium,Gold Credit,False,Chrome,web,307b0d54ade15a01bc91398e27007c9e,72.39.47.225,0,False,16,True,"{'num_transactions': 180, 'total_amount': 1354770.9313189832, 'unique_merchants': 87, 'unique_countries': 12, 'max_single_amount': 418510.85361687955}",False
TX_191208eb,CUST_60655,5162065121495390,2024-10-22 09:28:07.848408+00:00,Restaurant,fast_food,Taco Bell,2263.62,AUD,Australia,Unknown City,medium,Platinum Credit,False,Chrome,web,750a309416be7f25e958ac85d01b9133,195.164.40.75,1,False,9,False,"{'num_transactions': 42, 'total_amount': 1272082.1527365425, 'unique_merchants': 37, 'unique_countries': 10, 'max_single_amount': 459864.1107655924}",False
TX_5a9d199b,CUST_25166,374497381775861,2024-10-21 08:30:57.497625+00:00,Travel,airlines,United Airlines,646.91,AUD,Australia,Unknown City,medium,Basic Debit,False,Android App,mobile,b4c19f4a5121fade2c5108673f3efe0c,229.28.158.140,0,True,8,False,"{'num_transactions': 144, 'total_amount': 5579808.506229068, 'unique_merchants': 74, 'unique_countries': 11, 'max_single_amount': 1099973.2311916845}",False
TX_92c9fc31,CUST_95361,4817431860406661,2024-10-18 04:52:27.270714+00:00,Retail,online,Wayfair,855.91,SGD,Singapore,Unknown City,medium,Basic Debit,False,Chrome,web,15b7cebe1e14445c46c8b8639046d6d4,197.83.209.130,0,False,4,False,"{'num_transactions': 850, 'total_amount': 25190646.056389883, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1896855.5152560782}",False
TX_9ea4e1b6,CUST_82148,370125676910562,2024-10-26 13:26:58.205978+00:00,Travel,airlines,JetBlue,9810.4,MXN,Mexico,Unknown City,medium,Premium Debit,False,Android App,mobile,fb28189c7574da407430036b698e998c,174.80.206.163,1,True,13,True,"{'num_transactions': 90, 'total_amount': 1237030.3440693112, 'unique_merchants': 58, 'unique_countries': 12, 'max_single_amount': 599341.007658809}",False
TX_8799820e,CUST_57870,6532959910157552,2024-10-02 11:25:56.834824+00:00,Healthcare,pharmacy,CVS Pharmacy,11430.69,MXN,Mexico,Unknown City,medium,Basic Debit,True,NFC Payment,pos,73fe1a21d9a9f5ba04ff327db26fe411,108.77.204.197,1,False,11,False,"{'num_transactions': 1191, 'total_amount': 37601268.44585178, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2022533.4012599494}",True
TX_6d6f3f8e,CUST_39337,6603000771670666,2024-10-17 17:53:07.058277+00:00,Gas,local,Highway Gas Stop,775.16,USD,USA,San Antonio,medium,Platinum Credit,False,Firefox,web,8b9c1dc95d9306fbaad3d307a88f5426,201.112.123.229,0,False,17,False,"{'num_transactions': 350, 'total_amount': 12121697.794010177, 'unique_merchants': 99, 'unique_countries': 12, 'max_single_amount': 1163405.0303782024}",False
TX_de1c5847,CUST_98776,373914722998094,2024-10-05 10:57:01.136488+00:00,Grocery,online,Amazon Fresh,1095.29,BRL,Brazil,Unknown City,medium,Basic Credit,False,iOS App,mobile,134bfebe0c640275ade302204337c122,14.210.173.240,0,False,10,True,"{'num_transactions': 980, 'total_amount': 21415785.625850454, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1160281.6279943245}",False
TX_aeafd3d4,CUST_23144,4895095550931638,2024-10-27 18:00:10.751054+00:00,Education,supplies,University Bookstore,367.88,RUB,Russia,Unknown City,medium,Basic Debit,False,iOS App,mobile,6fd425fe611905a2ec9fae58e8356385,56.140.56.182,1,False,18,True,"{'num_transactions': 7, 'total_amount': 7284.011629174341, 'unique_merchants': 7, 'unique_countries': 3, 'max_single_amount': 3686.6887688691527}",True
TX_75fa3c09,CUST_49420,5611086521202050,2024-10-30 13:27:01.570912+00:00,Entertainment,events,AMC Theaters,617.56,CAD,Canada,Unknown City,medium,Premium Debit,False,Safari,web,b9cb95723904131180a8439f46410dbe,255.93.152.35,0,True,13,False,"{'num_transactions': 9, 'total_amount': 5168.6017176180785, 'unique_merchants': 8, 'unique_countries': 2, 'max_single_amount': 627.5011141595866}",False
TX_84ca297e,CUST_35762,5284060245611678,2024-10-22 11:23:18.356816+00:00,Entertainment,gaming,Xbox Live,493.5,GBP,UK,Unknown City,medium,Platinum Credit,False,Android App,mobile,19b336b99868c4046a0bd3aa8d339d79,81.175.225.242,0,True,11,False,"{'num_transactions': 41, 'total_amount': 3778807.1310232435, 'unique_merchants': 34, 'unique_countries': 7, 'max_single_amount': 3333053.9062560936}",False
TX_1d0d7a4b,CUST_68704,370924957238689,2024-10-07 02:43:33.473955+00:00,Retail,physical,Best Buy,3.46,BRL,Brazil,Unknown City,medium,Basic Debit,True,NFC Payment,pos,54f93c50b4ece3a391113d32bf82dc95,181.242.193.249,1,False,2,False,"{'num_transactions': 930, 'total_amount': 22845103.850007884, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 1941224.984680131}",True
TX_3c063006,CUST_24101,5864230361805911,2024-10-27 09:47:03.490471+00:00,Retail,physical,Target,1134.24,BRL,Brazil,Unknown City,medium,Basic Credit,False,Android App,mobile,476ec00590daeae06edb1f470a30b52e,226.201.245.39,0,False,9,True,"{'num_transactions': 143, 'total_amount': 5040806.966240884, 'unique_merchants': 72, 'unique_countries': 12, 'max_single_amount': 1476920.318476107}",False
TX_d831b39b,CUST_87337,6269377571433684,2024-10-26 15:03:25.700717+00:00,Retail,online,Wayfair,1058.3,SGD,Singapore,Unknown City,medium,Basic Debit,False,Firefox,web,ac574c4ed164c784f8f6f060046e2765,223.164.220.93,1,False,15,True,"{'num_transactions': 130, 'total_amount': 3348554.590764471, 'unique_merchants': 69, 'unique_countries': 12, 'max_single_amount': 1256670.3585693815}",False
TX_27ce4f02,CUST_63312,6669900777766452,2024-10-11 13:19:22.463706+00:00,Gas,local,Local Gas Station,8725.51,MXN,Mexico,Unknown City,medium,Premium Debit,False,Android App,mobile,be47a22d632a6a795579c7ffa68003e2,155.92.21.123,0,False,13,False,"{'num_transactions': 190, 'total_amount': 4076063.1041054307, 'unique_merchants': 82, 'unique_countries': 12, 'max_single_amount': 524823.8547184856}",False
TX_8e62e1e3,CUST_97692,4393783222510909,2024-10-03 20:20:49.038444+00:00,Entertainment,streaming,Netflix,3.5,USD,USA,San Antonio,medium,Premium Debit,True,NFC Payment,pos,71d0e8699b26131a380928ed2af75aca,158.65.192.32,1,True,20,False,"{'num_transactions': 1290, 'total_amount': 26574196.73926329, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 2079473.3073143314}",True
TX_dc4d9b69,CUST_37669,371823187166851,2024-10-09 13:18:45.571093+00:00,Grocery,physical,Kroger,180.53,GBP,UK,Unknown City,medium,Basic Credit,False,Edge,web,00710a47d2f9ad27d7525c4f13dde97c,164.213.104.50,0,False,13,False,"{'num_transactions': 905, 'total_amount': 19326214.791978367, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1671719.5279732917}",False
TX_9a5e791b,CUST_31125,4895133333728086,2024-10-03 16:35:49.219624+00:00,Travel,airlines,United Airlines,801.96,USD,USA,Phoenix,medium,Premium Debit,False,iOS App,mobile,ff3d19b68b8e9c513e9a90019bb0b038,183.229.151.2,0,True,16,False,"{'num_transactions': 102, 'total_amount': 3818738.7713747486, 'unique_merchants': 67, 'unique_countries': 12, 'max_single_amount': 956492.8072546236}",False
TX_549939f3,CUST_24759,370604290836338,2024-10-12 01:23:26.461643+00:00,Restaurant,premium,Morton's,507.83,NGN,Nigeria,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,f348f6dd74d704b7018003a46bd7e90c,160.24.232.245,1,False,1,True,"{'num_transactions': 433, 'total_amount': 16292874.605042, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 4051110.3537727413}",True
TX_7131d73b,CUST_44038,371947828299001,2024-10-23 04:48:12.879299+00:00,Healthcare,pharmacy,CVS Pharmacy,163515.78,RUB,Russia,Unknown City,medium,Gold Credit,False,Chrome,web,c5d13144fd7b52fd814456b2fdab7068,77.39.109.187,1,False,4,False,"{'num_transactions': 86, 'total_amount': 1221590.7177381034, 'unique_merchants': 66, 'unique_countries': 10, 'max_single_amount': 243495.5763293495}",True
TX_6008ba9e,CUST_15672,4837421678825554,2024-10-07 12:03:02.804698+00:00,Restaurant,casual,Olive Garden,8981.09,RUB,Russia,Unknown City,medium,Basic Credit,False,Safari,web,cd885ec082342ddc1c5179fb7be82c6d,187.147.78.26,1,False,12,False,"{'num_transactions': 143, 'total_amount': 2628228.1592131583, 'unique_merchants': 75, 'unique_countries': 12, 'max_single_amount': 546411.5483066415}",False
TX_a8b0083b,CUST_82195,376177501730974,2024-10-20 08:16:51.132002+00:00,Entertainment,gaming,Nintendo eShop,22569.74,JPY,Japan,Unknown City,medium,Premium Debit,False,Safari,web,1b3e2f76ba37ed26a38a081926b08e31,21.29.135.200,1,True,8,True,"{'num_transactions': 398, 'total_amount': 7038871.436629286, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 985504.352709019}",False
TX_4f6ec9de,CUST_37092,6525787069196355,2024-10-14 11:43:06.027131+00:00,Retail,online,Newegg,5712.25,SGD,Singapore,Unknown City,medium,Platinum Credit,True,Chip Reader,pos,02a7e380d57ec88956685cc23c4f3c2c,20.240.55.48,1,False,11,False,"{'num_transactions': 200, 'total_amount': 4992590.882148197, 'unique_merchants': 82, 'unique_countries': 12, 'max_single_amount': 1390811.9855839708}",True
TX_54034fe2,CUST_82501,4822195392392433,2024-10-30 10:34:48.208833+00:00,Entertainment,streaming,Amazon Prime,825.6,MXN,Mexico,Unknown City,medium,Basic Debit,False,Edge,web,3298824b3d8ab7f4bfc5b859a349227d,243.239.176.38,0,True,10,False,"{'num_transactions': 3, 'total_amount': 51433.98011498539, 'unique_merchants': 3, 'unique_countries': 3, 'max_single_amount': 46020.46190867379}",False
TX_55c29760,CUST_28167,373935961068273,2024-10-13 19:23:31.148182+00:00,Retail,online,Shopify Store,248.24,EUR,France,Unknown City,medium,Basic Debit,False,iOS App,mobile,88c125c8b78ab0c1da8b08537331fb66,185.59.94.180,0,False,19,True,"{'num_transactions': 690, 'total_amount': 11675529.186268337, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 996898.59417643}",False
TX_6c9b4787,CUST_18211,4812633068917978,2024-10-09 05:29:27.947128+00:00,Grocery,physical,Trader Joe's,1093.65,USD,USA,Phoenix,medium,Platinum Credit,False,Edge,web,10dfa3fcbdbf5d41d28b2803e991c45b,244.91.182.42,0,False,5,False,"{'num_transactions': 207, 'total_amount': 11126451.524825048, 'unique_merchants': 80, 'unique_countries': 12, 'max_single_amount': 2254767.3958732807}",False
TX_2052af68,CUST_97593,5445302590402469,2024-10-27 06:44:51.000970+00:00,Entertainment,events,Regal Cinemas,17206.16,MXN,Mexico,Unknown City,medium,Premium Debit,True,Magnetic Stripe,pos,09658cff35fc020b6c9788488c0ba62f,182.157.61.120,0,True,6,True,"{'num_transactions': 109, 'total_amount': 2644977.030389732, 'unique_merchants': 61, 'unique_countries': 11, 'max_single_amount': 648893.5480360982}",True
TX_04fcf653,CUST_50900,373282806429596,2024-10-28 09:17:59.697269+00:00,Entertainment,streaming,Hulu,1214.89,BRL,Brazil,Unknown City,medium,Premium Debit,True,Magnetic Stripe,pos,f5f5a20cbe654d89588501bb7aee0a46,132.49.234.7,1,True,9,False,"{'num_transactions': 108, 'total_amount': 3545332.8843232696, 'unique_merchants': 63, 'unique_countries': 11, 'max_single_amount': 941921.4453160363}",True
TX_c322e60c,CUST_93622,6641085455177579,2024-10-27 14:11:44.338041+00:00,Grocery,online,Walmart Grocery,1192.61,EUR,Germany,Unknown City,medium,Platinum Credit,False,Safari,web,927a10677ab86159576bf95d3324db9a,19.216.174.95,0,False,14,True,"{'num_transactions': 226, 'total_amount': 10083852.46815198, 'unique_merchants': 93, 'unique_countries': 12, 'max_single_amount': 3818133.4244947606}",False
TX_de23d4a7,CUST_52563,378566299279087,2024-10-12 08:26:18.131315+00:00,Entertainment,events,Ticketmaster,261.22,GBP,UK,Unknown City,medium,Basic Credit,False,Edge,web,c1c47911a6c5b178366d86ec04621fc9,20.134.154.35,0,True,8,True,"{'num_transactions': 766, 'total_amount': 11560919.932990354, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 1035875.3720514063}",False
TX_47529ddf,CUST_13184,372462251564771,2024-10-18 10:51:52.368007+00:00,Grocery,online,Walmart Grocery,7488.34,MXN,Mexico,Unknown City,medium,Basic Credit,False,Firefox,web,c0e4fcd30edf0dcab32859333eee73e9,173.178.245.240,1,False,10,False,"{'num_transactions': 407, 'total_amount': 15048536.5604961, 'unique_merchants': 97, 'unique_countries': 12, 'max_single_amount': 1129018.343125024}",False
TX_4ad236ce,CUST_54980,4395102238291123,2024-10-30 13:42:42.640940+00:00,Gas,local,Highway Gas Stop,628576.73,NGN,Nigeria,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,93c788f32479b1b391d7fac52b913f63,84.76.165.100,1,False,13,False,"{'num_transactions': 26, 'total_amount': 858639.9515990976, 'unique_merchants': 23, 'unique_countries': 6, 'max_single_amount': 628576.7267398968}",True
TX_cbff7e33,CUST_42294,4845717171644552,2024-10-06 13:12:44.794801+00:00,Education,supplies,University Bookstore,2109.02,EUR,France,Unknown City,medium,Gold Credit,True,Magnetic Stripe,pos,dfc7cf2060b72d58afb45de91247cb44,197.187.225.34,1,False,13,True,"{'num_transactions': 956, 'total_amount': 33435068.24845658, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 3758253.107133563}",True
TX_5a5adf4c,CUST_72286,6363966466434222,2024-10-07 07:33:51.381230+00:00,Gas,local,Highway Gas Stop,38778.99,JPY,Japan,Unknown City,medium,Basic Debit,False,Firefox,web,bd4a2405ca14493474e4a1726e6d0d8c,119.102.20.128,0,False,7,False,"{'num_transactions': 100, 'total_amount': 5207945.239409752, 'unique_merchants': 63, 'unique_countries': 11, 'max_single_amount': 1018054.0240798095}",False
TX_9fa9659a,CUST_83357,373219010159403,2024-10-18 06:10:17.279864+00:00,Education,supplies,University Bookstore,333.91,GBP,UK,Unknown City,medium,Gold Credit,False,Safari,web,3c1f43edaa77d638d2ca6ab027bb3ae1,99.138.141.225,0,False,6,False,"{'num_transactions': 526, 'total_amount': 20598392.37507078, 'unique_merchants': 101, 'unique_countries': 12, 'max_single_amount': 4167667.6587903956}",False
TX_31019246,CUST_60071,379239643871947,2024-10-30 01:21:59.690342+00:00,Entertainment,streaming,Spotify,18282.43,RUB,Russia,Unknown City,medium,Gold Credit,True,Chip Reader,pos,b2f778781cb96ab99b69abc98143f0d0,245.62.53.109,0,True,1,False,"{'num_transactions': 3, 'total_amount': 336294.64681227, 'unique_merchants': 3, 'unique_countries': 1, 'max_single_amount': 189170.4895514073}",True
TX_036e0bae,CUST_78409,4552640782708579,2024-10-16 16:17:02.914965+00:00,Retail,online,Amazon,4269.58,BRL,Brazil,Unknown City,medium,Gold Credit,False,iOS App,mobile,5659c29c9f2f019e814499036707c4ea,160.165.70.90,0,False,16,False,"{'num_transactions': 365, 'total_amount': 11810296.809139052, 'unique_merchants': 95, 'unique_countries': 12, 'max_single_amount': 1006665.5152995693}",False
TX_9637ae1f,CUST_98389,4855512398380537,2024-10-22 06:09:11.301829+00:00,Retail,online,Wayfair,19596.61,RUB,Russia,Unknown City,medium,Premium Debit,False,Safari,web,8ab2b5c5a837cc05f29e0d657056dddb,189.83.153.247,0,False,6,False,"{'num_transactions': 468, 'total_amount': 16494836.369123217, 'unique_merchants': 102, 'unique_countries': 12, 'max_single_amount': 2995092.2453614413}",False
TX_a90d111b,CUST_74829,5726650229500008,2024-10-02 16:19:19.272250+00:00,Grocery,physical,Publix,364.66,GBP,UK,Unknown City,medium,Gold Credit,False,Firefox,web,eca99b435f06755d0b354414f3320eb5,229.163.152.203,0,False,16,False,"{'num_transactions': 384, 'total_amount': 9109217.758140095, 'unique_merchants': 105, 'unique_countries': 12, 'max_single_amount': 908519.1641551543}",False
TX_758d3895,CUST_85532,371365751141381,2024-10-19 18:29:42.733128+00:00,Education,online,MasterClass,9617.82,MXN,Mexico,Unknown City,medium,Basic Credit,False,Edge,web,745cac9cfe420f9cd51fd78fdcbcdfbc,4.120.254.201,0,False,18,True,"{'num_transactions': 253, 'total_amount': 9647798.844614718, 'unique_merchants': 89, 'unique_countries': 12, 'max_single_amount': 2259608.788250052}",False
TX_7d61509f,CUST_80219,4338721748210305,2024-10-07 16:49:24.679791+00:00,Travel,transport,Hertz,226.54,EUR,Germany,Unknown City,medium,Gold Credit,False,Android App,mobile,b4f6d3d303a1c617d345123597751c29,221.63.119.3,0,True,16,False,"{'num_transactions': 852, 'total_amount': 28358231.63819772, 'unique_merchants': 103, 'unique_countries': 12, 'max_single_amount': 3339326.7322225054}",False
TX_d370f691,CUST_61775,4168891184611285,2024-10-06 08:37:04.179659+00:00,Retail,physical,Target,448.48,EUR,Germany,Unknown City,medium,Platinum Credit,False,Safari,web,6d60a43a903f1204b1ec28438dfd3bae,222.207.155.239,0,False,8,True,"{'num_transactions': 368, 'total_amount': 11072481.228660889, 'unique_merchants': 91, 'unique_countries': 12, 'max_single_amount': 2345662.9712025714}",False
